variable,missing_ratio,missing_count
lev,0.2548815412652955,15664
sl,0.2682081489195522,16483
ll,0.275969799531372,16960
sdr,0.2682081489195522,16483
cash,0.5378644884144754,33055
sloan,0.3747233793282999,23029
lloan,0.501773626659724,30837
hhi5_approx,0.0576184587347045,3541
top1,0.06033585003905233,3708
size,0.25728976828950795,15812
age,0.00039052330122363966,24
