年份,指标,均值,中位数,标准差,最小值,最大值,样本量
2011,sloan,0.10652901239106777,0.069109730088639,0.11943542174007135,0.0,0.5261680404748951,2301
2011,lloan,0.04970689094202594,0.0010974167400968,0.09090897323600967,0.0,0.7975434028243636,2247
2011,top1,0.36203831721132895,0.343301,0.15670228783825188,0.021969,0.894086,2295
2011,hhi5_approx,4.678661268896219e-06,2.2694518609e-06,6.529627416479895e-06,1.5038116899999995e-08,3.576877249e-05,2301
2011,size,21.805468638544657,21.57256857372801,1.463061050291577,15.715152767365977,30.370367638038157,2295
2011,age,9.159495871360278,9.0,6.33322724982429,1.0,22.0,2301
2012,lev,0.43629563696329127,0.43406615058089715,0.2359415413351135,0.0384614770174787,1.0,2456
2012,sl,0.34350458062914885,0.32286193105018157,0.20458161107548417,0.0,0.923807157272366,2456
2012,ll,0.08122310260349724,0.0314055052119982,0.10765044431679423,0.0,0.4973320381571176,2456
2012,sdr,0.8174941820365614,0.895789713996596,0.21257656632964927,0.0,1.0,2456
2012,cash,0.002524536321965719,0.0,0.014143357962976357,0.0,0.1192722532696177,2456
2012,ta,48593958105.41284,2527066933.35,621033480503.1145,6779589.17,17542217000000.0,2453
2012,te,6965294439.486484,1399256408.58,49188383851.37541,5983151.0,1180766000000.0,2431
2012,sloan,0.10377936665887627,0.0681443906995125,0.11610469641369998,0.0,0.4893151112898474,2456
2012,lloan,0.04508114424015759,0.0,0.08291360354568426,0.0,0.4162008528495484,2456
2012,top1,0.36383024133713815,0.3450979999999999,0.15681729407835585,0.021969,0.894086,2453
2012,hhi5_approx,4.702878385263233e-06,2.21731871545e-06,6.484348732372429e-06,1.63558521e-08,3.51531595801e-05,2456
2012,size,21.873354145040377,21.65032515227909,1.4640988136496471,15.729427063685383,30.49563149169248,2453
2012,age,9.595684039087947,9.0,6.508509681115214,1.0,23.0,2456
2013,lev,0.44802255941107755,0.43898269077814805,0.2283415101006885,0.0463466862545596,0.9491868488890772,2470
2013,sl,0.3488535655070136,0.32975552704952893,0.19677968871281556,0.0,0.8810162614704501,2470
2013,ll,0.08719041689830472,0.038768551584292654,0.10833041132899025,0.0,0.5090738564985375,2470
2013,sdr,0.8080259614235278,0.8805872844821181,0.2103975710104305,0.0,1.0,2470
2013,cash,0.003198409665475206,0.0,0.017975140003123707,0.0,0.1587178546023899,2470
2013,ta,53885507345.84642,2838093652.045,678764825832.9755,5822617.75,18917752000000.0,2466
2013,te,7694293547.707982,1557008847.375,54559894182.96687,1375192.35,1278463000000.0,2458
2013,sloan,0.10544840738080055,0.07080894185540965,0.11435281064526447,0.0,0.4860849895155495,2470
2013,lloan,0.048691670909388834,0.0009178419727151001,0.08824332649069437,0.0,0.4579610026676907,2470
