source_file,raw_variable,clean_variable,definition,unit,note
常用变量查询（年度）.xlsx,ConcurrentPosition,concurrent_position,董事长与总经理是否两职合一（1=同一人，0=不是）,,1=兼任，0=分离
常用变量查询（年度）.xlsx,Boardsize2,boardsize2,董事会规模（人数）,人,
常用变量查询（年度）.xlsx,ExecutivesNumber,executives_number,高管人数,人,
常用变量查询（年度）.xlsx,IndDirector,ind_director,独立董事人数,人,
常用变量查询（年度）.xlsx,SumSalary,sum_salary,高管薪酬总额,元,
常用变量查询（年度）.xlsx,TOP3SumSalary,top3_sum_salary,前三名高管薪酬总额,元,
常用变量查询（年度）.xlsx,Ynshrtrd,ynshrtrd,是否发行外资股（B股或H股）,,
常用变量查询（年度）.xlsx,DirectorHoldshares,director_holdshares,董事会持股数量,股,
常用变量查询（年度）.xlsx,ManageHoldshares,manage_holdshares,管理层持股数量,股,
跨表查询_沪深京股票(年频).xlsx,code,stkcd,股票代码,,
跨表查询_沪深京股票(年频).xlsx,stknme,stknme,股票简称,,
跨表查询_沪深京股票(年频).xlsx,listingDate,listing_date,上市日期,,
跨表查询_沪深京股票(年频).xlsx,EndDate,end_date,会计截止日期,,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001101000,total_current_assets,流动资产合计,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001107000,cash_and_equivalents,货币资金,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001109000,trading_financial_assets,交易性金融资产,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001123000,notes_and_accounts_receivable,应收票据及应收账款,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001100000,total_current_assets,流动资产合计,元,同A001101000
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001212000,total_non_current_assets,非流动资产合计,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001204000,long_term_equity_investment,长期股权投资,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001207000,fixed_assets,固定资产,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001218000,construction_in_progress,在建工程,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001219000,intangible_assets,无形资产,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001200000,total_non_current_assets,非流动资产合计,元,同A001212000
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A001000000,total_assets,资产总计,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002101000,short_term_borrowing,短期借款,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002107000,notes_and_accounts_payable,应付票据及应付账款,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002108000,advance_receipts,预收款项,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002114000,employee_payables,应付职工薪酬,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002125000,non_current_liabilities_due_in_one_year,一年内到期的非流动负债,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002100000,total_current_liabilities,流动负债合计,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002201000,long_term_borrowing,长期借款,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002206000,bonds_payable,应付债券,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002200000,total_non_current_liabilities,非流动负债合计,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A002000000,total_liabilities,负债合计,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A003101000,paid_in_capital,实收资本（股本）,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A003102000,capital_reserve,资本公积,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A003103000,surplus_reserve,盈余公积,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A003105000,undistributed_profit,未分配利润,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A003000000,total_equity,所有者权益合计,元,
跨表查询_沪深京股票(年频).xlsx,FS_Combas-A004000000,total_liabilities_and_equity,负债与所有者权益总计,元,
